raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk,cd3_cd28,icam2,aktinhib,g0076,psitect,u0126,ly,pma,b2camp
-1.0099401629776212,-1.0594018449587659,-0.9231612519078093,-0.9846684027404976,1.3035697863418905,-0.8966132501282672,-0.8305848221299537,-0.13908843923360398,0.39693298373924946,0.7690949626490159,0.4374023725855133,0.9932,0.007,-0.0095,-0.0142,-0.0231,-0.0187,0.0133,0.0004,-0.0067
-0.5532518671889032,-0.7384078701080888,-0.4932400474369443,-1.0510139353443513,-1.225396771871141,0.21503138868504137,0.05409174756061144,-0.3698188791729889,-1.2734756060325396,-1.0959426867325384,0.9516535100960571,0.9989,0.0052,-0.0031,0.0152,-0.0035,0.005,-0.0032,0.0042,0.013
0.2608703470372977,0.9853949880629324,-0.24471164343817087,-1.3951585604289285,-0.774256141847986,-0.068300930924166,0.05409174756061144,-0.17747054277823301,-0.1554332033167599,0.07725919540176804,-0.3211072727892776,1.0179,0.0178,-0.0011,0.0071,0.007,0.0067,-0.0007,0.0096,-0.0068
0.6131839999765039,2.2886933238750142,0.5072071160606652,-1.210973623126854,-2.1236957060534394,-0.9950124167217902,-1.2476717038950222,0.20853958602611605,0.08723713961963712,-0.13269836534684154,-0.15563255674940193,1.0031,-0.0114,0.0088,-0.0153,-0.0031,0.0082,-0.0022,-0.0023,-0.0038
-0.6501430450793942,-0.4548511158005678,-1.4660729438235791,-1.4238880020702305,0.01102059162233201,0.38646278495400505,0.5953882336661899,-0.5726748636864278,-1.0545731713171418,-0.3326701396696031,1.3031614863927516,1.0098,0.0019,-0.0062,0.0016,0.0036,-0.0014,-0.006,-0.0108,0.0162
-1.4711579243994315,-2.323089186131637,0.04688488357771894,-0.8312824007572762,-0.9559260550729475,-0.33097147126945287,-0.28577848849198983,0.41548187814126547,0.08723713961963712,0.9578007215169753,0.8753137410107618,0.9985,-0.0097,-0.0056,0.0073,0.0107,-0.0063,-0.0048,-0.0094,-0.0034
-0.20074128096130303,0.6199594094707012,-0.7189676804266562,0.9787941575669458,-0.5199561902460306,-0.658491358413381,-0.7666276004287182,0.8673107472445787,0.21415776951976997,0.3107729702831482,-0.3909775699181912,1.0052,-0.0052,-0.0027,-0.0117,0.0033,-0.0087,0.0208,0.009,-0.0083
-0.11310596762539077,-0.8789785949862632,-0.24471164343817087,-0.5483704415437792,-0.43537917427699846,0.32631859580952377,0.5675044449366887,0.029763628451323555,-0.7821929431044959,-0.42766313361805997,-0.29695457748545573,0.9889,-0.0079,-0.0071,0.0065,0.0072,-0.0031,0.0055,-0.0127,-0.0007
1.2382502573432101,1.6590234273846334,-0.6941401742167882,-0.8698723710974997,0.7653868910053137,-0.3686127325027342,-0.4099880928324996,-0.03605511184764063,1.2832382813002914,1.4276447751434367,-0.0630472247514176,1.0068,0.0077,0.0076,0.0073,0.0014,0.0068,0.0027,-0.0048,0.0075
-1.3199131589118354,-0.3208017132105549,-2.088533992370966,1.483750614889487,0.8336553343883889,-0.21293338577160967,2.4470277985287883,-1.0767500942687434,0.17565375820175208,-0.26200149727129146,1.583936569299683,0.9994,-0.0159,0.0049,0.0169,-0.0025,-0.0011,0.0129,0.0059,0.0084
-1.6424898853033485,-0.7473444969474226,-0.25484531944219835,-1.0420055511008928,-0.9288083122846704,0.438424091221687,0.14807766481669532,-0.023212430813696436,0.6788203752402948,0.7690949626490159,-0.11279027579381252,0.9983,-0.0053,-0.0082,0.0159,0.0034,-0.0105,-0.001,0.0106,0.0059
0.643905592966172,-0.21573596523459976,-1.1073408132810076,-1.1115161916821776,0.08592624477876237,0.37337017235112524,0.22958412417985571,-0.22767375045637864,1.4415325500521432,1.7648571013701684,0.30183099358846477,0.983,-0.0002,0.0086,-0.0157,0.0062,0.0059,-0.0042,0.0053,0.0104
0.8812102054825172,0.7757465530212553,-0.9122675502034793,0.20017759511878386,-0.8846234586506239,-0.8892486555391469,-1.21218324551202,0.20853958602611605,0.4748917227041251,0.7314562291977419,1.7888031812517446,0.994,-0.0128,-0.0063,-0.0144,0.0029,0.0127,0.0035,-0.0148,0.0055
-0.5150468092402133,0.2074253921306272,-1.4977406813361653,-1.4658865502323029,-0.5785532708165033,0.1642975148488793,-0.7666276004287182,-0.18797819089691356,0.17565375820175208,0.6003607766327559,2.118602484983695,0.9982,0.0006,-0.0044,0.0046,0.0251,-0.0138,-0.0017,0.0087,-0.0209
-0.8640125962766984,-0.12926806230266388,-0.7437951866365229,-1.0878996167736499,0.9334031155536591,-0.6411027323001811,-1.7062917814599796,0.13046192292202324,-0.34866629715347974,-0.856283812512174,-1.0384998297301804,1.0094,-0.0093,-0.012,0.0055,0.0077,0.0055,-0.0041,-0.0055,-0.0045
-0.025864520866269957,-0.9978115789038954,-0.5390949313551685,-1.2265556931695938,-0.9198954877318798,0.17902670402711987,-0.169173553804982,-0.21672828366608476,2.528676672080625,1.9479298525107256,-1.7393592916714442,0.9928,0.0025,-0.0022,0.0044,-0.0068,0.0045,-0.013,0.0075,0.0076
-1.0207714938393624,0.04825682220843245,0.365588993904382,-1.3537686868779009,-0.6390466970365065,-0.6151220791663401,0.2873016169346289,-2.261925238321717,1.8615114883171902,1.5848568998991028,-1.6854470253682698,1.0219,0.0152,-0.0095,0.0099,0.0109,-0.01,0.0157,-0.0041,-0.0096
-0.4006285686825396,0.7066688428577537,-0.7065539273217222,0.5784079984218543,-0.10693210777842539,0.7747405774581749,-0.001675829898392582,-1.0128285682134295,0.352486995365982,0.009151011061364839,-1.0603522683384006,0.9993,-0.0035,-0.0036,-0.0079,-0.0001,-0.0017,-0.0136,0.0009,0.0104
-0.7998123442598282,-0.4548511158005678,-1.1073408132810076,0.9873156021215688,-0.5637617747501703,0.25042235712720157,0.21690967475735487,-0.509191156302726,0.95191364069957,0.38220975009883446,-0.43784530009108386,0.99,0.0107,-0.003,-0.0153,0.0067,0.005,0.0063,-0.0007,0.0013
-0.05560144741396031,-0.7384078701080888,-0.38202295329274344,1.0536611347254226,0.05956704025029717,0.9568097214669804,1.0848169729043033,0.6338074557183182,0.1369120678015237,-0.21360883997679386,-0.19962496605279162,1.0052,-0.0052,0.0072,0.0098,0.0036,-0.0193,-0.0122,0.0155,0.0
-0.44474162528308797,-1.554539277948901,-0.6095239795831594,0.4997672386749005,-0.4080717969237689,-0.31235541272473216,0.20423522533485317,0.8811750051789505,-0.08983377662680328,-0.14601274724797372,-0.25439982861681654,1.0019,0.0012,0.0029,-0.0006,0.0142,0.0082,-0.0097,0.0153,0.0083
-0.7470342229698854,-0.6227147821069786,-0.25484531944219835,-1.371298515675983,-1.5963219809191835,-0.49626570538081705,-0.3867841008128436,-0.7136524759454083,0.09721966107245654,-0.14601274724797372,-0.6977743066941207,1.0071,0.0025,-0.0013,-0.0063,-0.0014,-0.002,-0.0035,0.0161,0.0047
-0.345881114508644,0.1260296287561512,-2.2836072554484943,1.0209144406512274,-0.0386636643953501,0.9115992935726592,0.7264225415418912,1.0761502536033771,-1.7371874954242246,2.154302771978261,-1.3313512602890223,1.0084,-0.0042,0.0057,0.0063,-0.003,-0.0072,-0.0009,-0.0166,0.0089
0.5505592142667951,1.3988951272234738,-0.1636422354059512,-0.7470418345887134,-0.7826000627059173,-0.5259286558092177,-0.169173553804982,-0.023212430813696436,1.658295873027651,2.402411157789727,0.6582270153633143,1.0083,0.0042,-0.0023,-0.0089,-0.0074,-0.0019,0.017,-0.0012,0.0277
0.5505592142667951,0.899168615586113,0.04688488357771894,-0.8776634061188694,-0.9925255261088737,2.0285628062558865,1.8762875914570922,2.1181586920393145,1.658295873027651,0.82440085669987,-0.4065043026135049,1.0076,-0.0173,-0.0002,-0.0125,-0.0086,0.0113,0.0022,-0.0058,-0.0129
-1.2947056979972353,-2.8619436314979745,-0.9968837448371082,1.3397382019163517,0.8336553343883889,0.22935143371944106,0.3116755581317464,0.49341360168815473,0.07701693908460723,-0.09326731125503036,-1.110095319380796,1.0072,0.005,-0.0012,0.0037,0.0058,-0.0199,0.0065,0.0093,-0.0157
